,,,,,Stock Count Date : 1 JAN 2026,,Counted by Seven,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Balance at at 30 Nov 2025,,, Balane as at 31 DEC 25 , Physical stock count on 31 DEC 25 ,,,,,,,,,
,,,,,Items,UOM,QTY,Purchase,Sale, QTY , QTY per Physical , Diff , COG , Consumption , Lost , Total COG , Purchase , Remark , Action Required ,
New,,#N/A,,GIN Mabooze,GIN Mabooze,,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Soft Drinks,,Ginger Ale,Ginger Ale,Bottle,  54.00 ,72,48,  78 ,  70 ,  (8.00),  17.00 ,  (2.83),,  (19.83),  25.50 ,Use For blending ,,
,,Whiskey,,Glenfiddich - 12,Glenfiddich,Bottle,  2.00 ,1,,  3 ,  2 ,  (1.00),  -   ,  (38.00),,  (38.00),  38.00 ,,,
,,Whiskey,,Glenfiddich - 15,Glenfiddich,Bottle,  3.00 ,0,,  3 ,  3 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Grand Marnier,Grand Marnier,Bottle,  2.00 ,0,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Vodka,,Grey goose Vodka,Grey Goose,Bottle,  2.00 ,0,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Guinness,Guinness,Bottle,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,Draft & Bottles,,Hanuman Bottle,Hanuman Bottle,Bottle,  51.00 ,120,125,  46 ,  52 ,  6.00 ,  67.71 ,,  3.25 ,  (64.46),  65.00 ,,,
,,,,Hanuman Black Bottle,Hanuman Black Bottle,,  58.00 ,72,26,  104 ,  104 ,  -   ,  17.33 ,,  -   ,  (17.33),  48.00 ,,,
,,Rum,,Havana Club,Havana Club 3 Anejo,Bottle,  4.00 ,0,,  4 ,  4 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Draft & Bottles,,Heineken,Heineken,Bottle,  66.00 ,96,105,  57 ,  58 ,  1.00 ,  91.88 ,,  0.88 ,  (91.00),  84.00 ,wrong keyin items for sale and lost,,
,,Gin,,Hendrick's gin,Hendricks,Bottle,  4.00 ,0,,  4 ,  2 ,  (2.00),  -   ,  (56.00),,  (56.00),  -   ,Use For blending ,,
,,#N/A,,Hennessy,Hennessy,Bottle,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Draft & Bottles,,Hoegaarden Rose,Hoegaarden Rose,Bottle,  32.00 ,0,19,  13 ,  5 ,  (8.00),  25.46 ,,  (10.72),  (36.18),  -   ,Lost or Sale at Event,,
